Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume,Daily Return %,MA_10,MA_30,Volatility_10
3107.800049,3171.949951,3098.050049,3164.800049,3093.957275,3402251,-0.393416508,3141.821313,3201.734465,66.17462609
3030.050049,3078.949951,3030.050049,3074.25,3005.434082,1865074,-2.861164041,3120.553271,3199.904688,72.77763728
3023,3076.949951,3014.300049,3063.5,2994.924805,3202795,-0.349675844,3097.549976,3197.682243,72.46451827
3018.550049,3028.899902,2953,2994.600098,2927.567139,4574806,-2.24906034,3067.507861,3190.625488,74.62103112
3056,3057,2967,2998.75,2931.624023,4764908,0.138575268,3041.91875,3186.265316,72.74714935
3104,3110,3035,3038.75,2962.907959,3863530,1.06711965,3026.462646,3180.026506,71.31719754
3114.899902,3136.199951,3080.25,3084.699951,3007.710938,3734815,1.512128612,3022.618555,3175.411475,71.17386787
3206.149902,3225,3106,3113.800049,3036.084717,6974600,0.943367883,3016.640674,3170.531624,66.70885038
3300,3305,3250,3265.449951,3183.949707,2136916,4.87025244,3025.033814,3169.627425,81.91233168
3271,3319.399902,3265.050049,3287.850098,3205.790771,1989921,0.685973901,3034.995142,3167.171786,97.458351
3218.5,3268.5,3202.25,3260.75,3179.366943,2182144,-0.824253044,3043.536108,3162.818636,106.5209287
3255,3272,3206.949951,3216.300049,3136.026611,2170627,-1.363174895,3056.595361,3157.167456,109.2996199
3312,3317.949951,3225.050049,3235.050049,3154.308594,2622535,0.58296645,3072.53374,3151.478817,110.9163655
3260,3333,3252.050049,3315.100098,3232.36084,1502879,2.474464488,3103.01311,3148.665658,108.5057231
3272,3310.899902,3255,3267.100098,3185.558594,2719603,-1.447927639,3128.406567,3144.00402,92.46782539
3271,3333,3271,3290.5,3208.374512,2133994,0.716229739,3152.953223,3139.420215,74.48518757
3307,3330,3272.600098,3318.149902,3235.334229,1400046,0.840292082,3175.715552,3137.959139,58.15922701
3350,3362.899902,3306.5,3314.699951,3231.970459,2037686,-0.103969784,3195.304126,3135.727677,33.78557112
3339,3345,3277.5,3293.100098,3210.909668,2132118,-0.651639341,3198.000122,3133.100505,33.85444252
3222.949951,3318,3222.949951,3308.800049,3226.217773,3692578,0.476752901,3200.042822,3131.312744,34.97447462
3199.899902,3250.550049,3183,3222.949951,3142.510254,3336315,-2.594602252,3196.357153,3127.238192,39.09473928
3130,3237.75,3125.399902,3211.949951,3131.784912,2964461,-0.341298552,3195.932984,3124.360539,39.83798936
3094,3138.75,3069,3112.399902,3034.719727,1502769,-3.099356684,3183.974097,3118.019271,64.2136738
3092,3118.75,3023.850098,3088.899902,3011.806152,5240434,-0.755047486,3161.918628,3110.8132,81.34060786
3240,3244.850098,3133.050049,3142,3063.581055,2032028,1.719064919,3149.720874,3106.682064,86.39073295
3218.5,3234,3201,3206.300049,3126.276123,1404536,2.046463497,3141.511035,3106.975635,84.06718294
3190,3238.899902,3174.699951,3210.550049,3130.419922,2611493,0.132547441,3131.019605,3109.78457,77.33415311
3290,3293,3192.449951,3219.600098,3139.244141,3030921,0.281886112,3121.746973,3111.230591,68.99427682
3382,3393,3352,3359.899902,3276.04248,1527582,4.357683979,3128.260254,3117.098063,80.46723358
3385,3437,3353.100098,3427.100098,3341.565186,1279197,2.000056666,3139.794995,3124.94432,101.5696789
3380.149902,3413.949951,3346.5,3404.149902,3319.187988,2185707,-0.669662172,3157.462769,3132.45201,116.3808729
